,Name,Neighborhood,Tree Diameter
51912,'Schubert' chokecherry,East Village,1.0
53169,'Schubert' chokecherry,East Village,1.0
41009,American beech,East Village,1.0
36922,American elm,Marble Hill-Inwood,1.0
13986,American elm,SoHo-TriBeCa-Civic Center-Little Italy,1.0
31841,American hornbeam,Lower East Side,1.0
24286,American hornbeam,Turtle Bay-East Midtown,1.0
11228,American linden,Central Harlem North-Polo Grounds,1.0
11260,American linden,Central Harlem North-Polo Grounds,1.0
11439,American linden,Central Harlem North-Polo Grounds,1.0
11463,American linden,Central Harlem North-Polo Grounds,1.0
45491,American linden,Marble Hill-Inwood,1.0
27507,American linden,Washington Heights South,1.0
14574,Callery pear,Battery Park City-Lower Manhattan,1.0
29583,Callery pear,Chinatown,1.0
57109,Callery pear,Gramercy,1.0
41322,Callery pear,Hamilton Heights,1.0
61042,Callery pear,Morningside Heights,1.0
23746,Callery pear,Turtle Bay-East Midtown,1.0
41315,Callery pear,Turtle Bay-East Midtown,1.0
51137,Callery pear,Upper West Side,1.0
58720,Chinese chestnut,Yorkville,1.0
55377,Chinese elm,Morningside Heights,1.0
25300,Chinese elm,Washington Heights North,1.0
37822,Cornelian cherry,West Village,1.0
48314,Douglas-fir,Manhattanville,1.0
56405,Japanese maple,East Village,1.0
31458,Japanese tree lilac,Central Harlem North-Polo Grounds,1.0
55876,Japanese tree lilac,West Village,1.0
42210,Japanese zelkova,Hudson Yards-Chelsea-Flatiron-Union Square,1.0
28123,London planetree,Murray Hill-Kips Bay,1.0
44859,Sophora,Central Harlem North-Polo Grounds,1.0
27602,Sophora,Clinton,1.0
54014,Sophora,East Village,1.0
7232,Sophora,Hamilton Heights,1.0
7530,Sophora,Hamilton Heights,1.0
7959,Sophora,Hamilton Heights,1.0
8011,Sophora,Hamilton Heights,1.0
8155,Sophora,Hamilton Heights,1.0
99,Sophora,SoHo-TriBeCa-Civic Center-Little Italy,1.0
25916,Sophora,Turtle Bay-East Midtown,1.0
7902,Sophora,Upper West Side,1.0
46094,Sophora,Upper West Side,1.0
60939,Sophora,Upper West Side,1.0
61559,black cherry,Yorkville,1.0
11186,cherry,East Harlem North,1.0
28327,cherry,West Village,1.0
29678,common hackberry,Lincoln Square,1.0
42482,crab apple,Hamilton Heights,1.0
18233,crab apple,Washington Heights North,1.0
54703,cucumber magnolia,Midtown-Midtown South,1.0
16301,dawn redwood,Battery Park City-Lower Manhattan,1.0
48261,dawn redwood,Hamilton Heights,1.0
5093,ginkgo,Central Harlem North-Polo Grounds,1.0
30367,ginkgo,East Harlem South,1.0
50314,ginkgo,East Village,1.0
41663,ginkgo,Marble Hill-Inwood,1.0
40216,ginkgo,Morningside Heights,1.0
56510,ginkgo,Morningside Heights,1.0
22889,ginkgo,Turtle Bay-East Midtown,1.0
21467,ginkgo,Upper East Side-Carnegie Hill,1.0
32900,ginkgo,Washington Heights North,1.0
46413,green ash,East Village,1.0
467,holly,Lincoln Square,1.0
16304,honeylocust,Battery Park City-Lower Manhattan,1.0
44411,honeylocust,Lower East Side,1.0
25802,honeylocust,Washington Heights North,1.0
43843,littleleaf linden,Central Harlem North-Polo Grounds,1.0
34764,littleleaf linden,Hudson Yards-Chelsea-Flatiron-Union Square,1.0
36312,littleleaf linden,Hudson Yards-Chelsea-Flatiron-Union Square,1.0
45197,littleleaf linden,Marble Hill-Inwood,1.0
17482,littleleaf linden,Upper East Side-Carnegie Hill,1.0
31920,mimosa,Lincoln Square,1.0
17624,mulberry,West Village,1.0
26309,paperbark maple,Washington Heights North,1.0
27912,pin oak,Lower East Side,1.0
33665,pin oak,Midtown-Midtown South,1.0
51741,purple-leaf plum,Hudson Yards-Chelsea-Flatiron-Union Square,1.0
51807,purple-leaf plum,Morningside Heights,1.0
33756,purple-leaf plum,West Village,1.0
33,red maple,Chinatown,1.0
19011,red maple,Clinton,1.0
20993,river birch,Clinton,1.0
21709,river birch,Clinton,1.0
14131,sawtooth oak,Lincoln Square,1.0
10531,shingle oak,Morningside Heights,1.0
31751,shingle oak,West Village,1.0
16125,silver linden,Central Harlem North-Polo Grounds,1.0
16019,swamp white oak,East Harlem North,1.0
60515,swamp white oak,Morningside Heights,1.0
23119,willow oak,Turtle Bay-East Midtown,1.0
61054,'Schubert' chokecherry,Central Harlem North-Polo Grounds,2.0
58496,'Schubert' chokecherry,East Harlem South,2.0
61128,'Schubert' chokecherry,East Harlem South,2.0
16686,'Schubert' chokecherry,East Village,2.0
49144,'Schubert' chokecherry,East Village,2.0
48544,'Schubert' chokecherry,Lenox Hill-Roosevelt Island,2.0
48410,'Schubert' chokecherry,Marble Hill-Inwood,2.0
21679,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
44560,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
44561,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
45095,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
45096,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
48026,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
48027,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
49116,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
19850,'Schubert' chokecherry,Upper East Side-Carnegie Hill,2.0
36176,'Schubert' chokecherry,West Village,2.0
37066,'Schubert' chokecherry,West Village,2.0
38055,'Schubert' chokecherry,West Village,2.0
54897,'Schubert' chokecherry,Yorkville,2.0
58757,American beech,Central Harlem South,2.0
58802,American beech,Central Harlem South,2.0
6112,American elm,Central Harlem North-Polo Grounds,2.0
11075,American elm,Central Harlem North-Polo Grounds,2.0
52628,American elm,Central Harlem North-Polo Grounds,2.0
9803,American elm,Central Harlem South,2.0
52451,American elm,Central Harlem South,2.0
35335,American elm,East Harlem South,2.0
51811,American elm,East Harlem South,2.0
52413,American elm,East Harlem South,2.0
38270,American elm,East Village,2.0
43740,American elm,East Village,2.0
43791,American elm,East Village,2.0
43927,American elm,East Village,2.0
46650,American elm,East Village,2.0
57427,American elm,East Village,2.0
39615,American elm,Hamilton Heights,2.0
39645,American elm,Hamilton Heights,2.0
39838,American elm,Hamilton Heights,2.0
40199,American elm,Hamilton Heights,2.0
40294,American elm,Hamilton Heights,2.0
42566,American elm,Hamilton Heights,2.0
42561,American elm,Lenox Hill-Roosevelt Island,2.0
20,American elm,Lincoln Square,2.0
261,American elm,Lincoln Square,2.0
7377,American elm,Lincoln Square,2.0
43166,American elm,Lower East Side,2.0
43207,American elm,Lower East Side,2.0
45918,American elm,Lower East Side,2.0
57502,American elm,Lower East Side,2.0
35631,American elm,Marble Hill-Inwood,2.0
36599,American elm,Marble Hill-Inwood,2.0
39582,American elm,Marble Hill-Inwood,2.0
39641,American elm,Marble Hill-Inwood,2.0
28485,American elm,Morningside Heights,2.0
28486,American elm,Morningside Heights,2.0
28566,American elm,Morningside Heights,2.0
28654,American elm,Morningside Heights,2.0
28879,American elm,Morningside Heights,2.0
28886,American elm,Morningside Heights,2.0
28938,American elm,Morningside Heights,2.0
29118,American elm,Morningside Heights,2.0
49007,American elm,Morningside Heights,2.0
22034,American elm,Murray Hill-Kips Bay,2.0
58349,American elm,Murray Hill-Kips Bay,2.0
13368,American elm,SoHo-TriBeCa-Civic Center-Little Italy,2.0
59850,American elm,Stuyvesant Town-Cooper Village,2.0
60187,American elm,Stuyvesant Town-Cooper Village,2.0
20861,American elm,Turtle Bay-East Midtown,2.0
9817,American elm,Upper East Side-Carnegie Hill,2.0
9840,American elm,Upper East Side-Carnegie Hill,2.0
9849,American elm,Upper East Side-Carnegie Hill,2.0
9887,American elm,Upper East Side-Carnegie Hill,2.0
9915,American elm,Upper East Side-Carnegie Hill,2.0
11153,American elm,Upper East Side-Carnegie Hill,2.0
12039,American elm,Upper East Side-Carnegie Hill,2.0
12195,American elm,Upper East Side-Carnegie Hill,2.0
22290,American elm,Upper East Side-Carnegie Hill,2.0
22294,American elm,Upper East Side-Carnegie Hill,2.0
23518,American elm,Upper East Side-Carnegie Hill,2.0
24719,American elm,Upper East Side-Carnegie Hill,2.0
25086,American elm,Upper East Side-Carnegie Hill,2.0
25794,American elm,Upper East Side-Carnegie Hill,2.0
56771,American elm,Upper East Side-Carnegie Hill,2.0
2296,American elm,Upper West Side,2.0
2357,American elm,Upper West Side,2.0
2598,American elm,Upper West Side,2.0
26778,American elm,Upper West Side,2.0
26793,American elm,Upper West Side,2.0
60738,American elm,Upper West Side,2.0
60937,American elm,Upper West Side,2.0
7478,American elm,Washington Heights North,2.0
21208,American elm,Washington Heights North,2.0
21212,American elm,Washington Heights North,2.0
21217,American elm,Washington Heights North,2.0
22402,American elm,Washington Heights North,2.0
32178,American elm,Washington Heights North,2.0
47296,American elm,Washington Heights North,2.0
17466,American elm,Washington Heights South,2.0
19145,American elm,Washington Heights South,2.0
32145,American elm,Washington Heights South,2.0
14924,American hophornbeam,Central Harlem South,2.0
54945,American hophornbeam,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
52458,American hophornbeam,Morningside Heights,2.0
59545,American hophornbeam,Upper West Side,2.0
24492,American hornbeam,Central Harlem North-Polo Grounds,2.0
3427,American hornbeam,Central Harlem South,2.0
8256,American hornbeam,Central Harlem South,2.0
29836,American hornbeam,East Harlem South,2.0
20239,American hornbeam,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
24854,American hornbeam,Lower East Side,2.0
24856,American hornbeam,Lower East Side,2.0
24895,American hornbeam,Lower East Side,2.0
26140,American hornbeam,Lower East Side,2.0
26820,American hornbeam,Lower East Side,2.0
28051,American hornbeam,Lower East Side,2.0
28063,American hornbeam,Lower East Side,2.0
8787,American hornbeam,Morningside Heights,2.0
24839,American hornbeam,Murray Hill-Kips Bay,2.0
15505,American hornbeam,Upper West Side,2.0
4349,American hornbeam,West Village,2.0
11057,American linden,Battery Park City-Lower Manhattan,2.0
40388,American linden,Battery Park City-Lower Manhattan,2.0
8376,American linden,Central Harlem North-Polo Grounds,2.0
8998,American linden,Central Harlem North-Polo Grounds,2.0
11224,American linden,Central Harlem North-Polo Grounds,2.0
11362,American linden,Central Harlem North-Polo Grounds,2.0
11454,American linden,Central Harlem North-Polo Grounds,2.0
11878,American linden,Central Harlem North-Polo Grounds,2.0
11931,American linden,Central Harlem North-Polo Grounds,2.0
12378,American linden,Central Harlem North-Polo Grounds,2.0
12489,American linden,Central Harlem North-Polo Grounds,2.0
12524,American linden,Central Harlem North-Polo Grounds,2.0
12527,American linden,Central Harlem North-Polo Grounds,2.0
12563,American linden,Central Harlem North-Polo Grounds,2.0
12567,American linden,Central Harlem North-Polo Grounds,2.0
15249,American linden,Central Harlem North-Polo Grounds,2.0
24178,American linden,Central Harlem North-Polo Grounds,2.0
24431,American linden,Central Harlem North-Polo Grounds,2.0
24496,American linden,Central Harlem North-Polo Grounds,2.0
46931,American linden,Central Harlem North-Polo Grounds,2.0
20406,American linden,Central Harlem South,2.0
33265,American linden,Central Harlem South,2.0
34967,American linden,Central Harlem South,2.0
45840,American linden,Central Harlem South,2.0
24469,American linden,Chinatown,2.0
51302,American linden,Chinatown,2.0
60662,American linden,Chinatown,2.0
21888,American linden,Clinton,2.0
22169,American linden,Clinton,2.0
51387,American linden,East Harlem North,2.0
59629,American linden,East Harlem South,2.0
16237,American linden,East Village,2.0
58959,American linden,East Village,2.0
1219,American linden,Gramercy,2.0
1265,American linden,Gramercy,2.0
39711,American linden,Gramercy,2.0
52804,American linden,Gramercy,2.0
59707,American linden,Gramercy,2.0
7980,American linden,Hamilton Heights,2.0
19231,American linden,Hamilton Heights,2.0
38063,American linden,Hamilton Heights,2.0
34171,American linden,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
49077,American linden,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
183,American linden,Lenox Hill-Roosevelt Island,2.0
52538,American linden,Lincoln Square,2.0
56568,American linden,Lincoln Square,2.0
26645,American linden,Lower East Side,2.0
29807,American linden,Lower East Side,2.0
40710,American linden,Lower East Side,2.0
43971,American linden,Lower East Side,2.0
44036,American linden,Lower East Side,2.0
45413,American linden,Lower East Side,2.0
52603,American linden,Lower East Side,2.0
53415,American linden,Lower East Side,2.0
57586,American linden,Lower East Side,2.0
57995,American linden,Lower East Side,2.0
27472,American linden,Manhattanville,2.0
27573,American linden,Manhattanville,2.0
27588,American linden,Manhattanville,2.0
27600,American linden,Manhattanville,2.0
35159,American linden,Marble Hill-Inwood,2.0
35900,American linden,Marble Hill-Inwood,2.0
36279,American linden,Marble Hill-Inwood,2.0
37369,American linden,Marble Hill-Inwood,2.0
39223,American linden,Marble Hill-Inwood,2.0
41060,American linden,Marble Hill-Inwood,2.0
34757,American linden,Midtown-Midtown South,2.0
54952,American linden,Midtown-Midtown South,2.0
7353,American linden,Morningside Heights,2.0
7692,American linden,Morningside Heights,2.0
28773,American linden,Morningside Heights,2.0
29035,American linden,Morningside Heights,2.0
40735,American linden,Morningside Heights,2.0
167,American linden,Murray Hill-Kips Bay,2.0
4780,American linden,Murray Hill-Kips Bay,2.0
26274,American linden,SoHo-TriBeCa-Civic Center-Little Italy,2.0
32471,American linden,SoHo-TriBeCa-Civic Center-Little Italy,2.0
59075,American linden,Stuyvesant Town-Cooper Village,2.0
22870,American linden,Turtle Bay-East Midtown,2.0
22883,American linden,Turtle Bay-East Midtown,2.0
22888,American linden,Turtle Bay-East Midtown,2.0
23871,American linden,Turtle Bay-East Midtown,2.0
24137,American linden,Turtle Bay-East Midtown,2.0
29366,American linden,Turtle Bay-East Midtown,2.0
34954,American linden,Turtle Bay-East Midtown,2.0
36965,American linden,Turtle Bay-East Midtown,2.0
35494,American linden,Upper East Side-Carnegie Hill,2.0
40712,American linden,Upper East Side-Carnegie Hill,2.0
58013,American linden,Upper East Side-Carnegie Hill,2.0
2135,American linden,Upper West Side,2.0
3516,American linden,Upper West Side,2.0
4840,American linden,Upper West Side,2.0
4855,American linden,Upper West Side,2.0
5039,American linden,Upper West Side,2.0
9028,American linden,Upper West Side,2.0
26844,American linden,Upper West Side,2.0
30647,American linden,Upper West Side,2.0
41043,American linden,Upper West Side,2.0
43097,American linden,Upper West Side,2.0
43588,American linden,Upper West Side,2.0
45668,American linden,Upper West Side,2.0
46212,American linden,Upper West Side,2.0
47651,American linden,Upper West Side,2.0
48051,American linden,Upper West Side,2.0
51263,American linden,Upper West Side,2.0
59704,American linden,Upper West Side,2.0
9470,American linden,Washington Heights North,2.0
47138,American linden,Washington Heights North,2.0
4829,American linden,Washington Heights South,2.0
12637,American linden,Washington Heights South,2.0
13312,American linden,Washington Heights South,2.0
14522,American linden,Washington Heights South,2.0
17608,American linden,Washington Heights South,2.0
18138,American linden,Washington Heights South,2.0
27504,American linden,Washington Heights South,2.0
35656,American linden,Washington Heights South,2.0
21101,American linden,West Village,2.0
38247,American linden,West Village,2.0
38684,American linden,West Village,2.0
27145,American linden,Yorkville,2.0
7197,Amur maackia,Central Harlem South,2.0
9027,Amur maackia,Gramercy,2.0
51739,Amur maackia,Manhattanville,2.0
31688,Amur maackia,Murray Hill-Kips Bay,2.0
31689,Amur maackia,Murray Hill-Kips Bay,2.0
31699,Amur maackia,Murray Hill-Kips Bay,2.0
31779,Amur maackia,West Village,2.0
40342,Callery pear,Battery Park City-Lower Manhattan,2.0
40569,Callery pear,Battery Park City-Lower Manhattan,2.0
8400,Callery pear,Central Harlem North-Polo Grounds,2.0
9214,Callery pear,Central Harlem North-Polo Grounds,2.0
22935,Callery pear,Central Harlem North-Polo Grounds,2.0
30557,Callery pear,Central Harlem North-Polo Grounds,2.0
38610,Callery pear,Central Harlem North-Polo Grounds,2.0
41402,Callery pear,Central Harlem North-Polo Grounds,2.0
46960,Callery pear,Central Harlem North-Polo Grounds,2.0
6592,Callery pear,Clinton,2.0
17309,Callery pear,Clinton,2.0
19931,Callery pear,Clinton,2.0
20501,Callery pear,Clinton,2.0
20660,Callery pear,Clinton,2.0
20802,Callery pear,Clinton,2.0
21025,Callery pear,Clinton,2.0
21276,Callery pear,Clinton,2.0
22423,Callery pear,Clinton,2.0
60337,Callery pear,East Village,2.0
58856,Callery pear,Gramercy,2.0
40087,Callery pear,Hamilton Heights,2.0
40398,Callery pear,Hamilton Heights,2.0
40591,Callery pear,Hamilton Heights,2.0
43906,Callery pear,Hamilton Heights,2.0
44274,Callery pear,Hamilton Heights,2.0
34245,Callery pear,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
44831,Callery pear,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
3663,Callery pear,Lenox Hill-Roosevelt Island,2.0
44572,Callery pear,Lenox Hill-Roosevelt Island,2.0
38565,Callery pear,Manhattanville,2.0
46610,Callery pear,Midtown-Midtown South,2.0
61734,Callery pear,Midtown-Midtown South,2.0
22621,Callery pear,Morningside Heights,2.0
44167,Callery pear,Morningside Heights,2.0
44285,Callery pear,Morningside Heights,2.0
55099,Callery pear,Morningside Heights,2.0
60118,Callery pear,Morningside Heights,2.0
60200,Callery pear,Morningside Heights,2.0
12277,Callery pear,Murray Hill-Kips Bay,2.0
27894,Callery pear,Murray Hill-Kips Bay,2.0
12250,Callery pear,SoHo-TriBeCa-Civic Center-Little Italy,2.0
12282,Callery pear,SoHo-TriBeCa-Civic Center-Little Italy,2.0
12302,Callery pear,SoHo-TriBeCa-Civic Center-Little Italy,2.0
12876,Callery pear,SoHo-TriBeCa-Civic Center-Little Italy,2.0
13173,Callery pear,SoHo-TriBeCa-Civic Center-Little Italy,2.0
13789,Callery pear,SoHo-TriBeCa-Civic Center-Little Italy,2.0
14178,Callery pear,SoHo-TriBeCa-Civic Center-Little Italy,2.0
12738,Callery pear,Turtle Bay-East Midtown,2.0
13238,Callery pear,Turtle Bay-East Midtown,2.0
20359,Callery pear,Turtle Bay-East Midtown,2.0
20565,Callery pear,Turtle Bay-East Midtown,2.0
21845,Callery pear,Turtle Bay-East Midtown,2.0
21958,Callery pear,Turtle Bay-East Midtown,2.0
22138,Callery pear,Turtle Bay-East Midtown,2.0
24275,Callery pear,Turtle Bay-East Midtown,2.0
27429,Callery pear,Turtle Bay-East Midtown,2.0
5197,Callery pear,Upper West Side,2.0
61853,Callery pear,Upper West Side,2.0
21795,Callery pear,West Village,2.0
32606,Callery pear,West Village,2.0
45114,Callery pear,West Village,2.0
18898,Callery pear,Yorkville,2.0
54448,Callery pear,Yorkville,2.0
55657,Callery pear,Yorkville,2.0
55979,Callery pear,Yorkville,2.0
12266,Chinese elm,Central Harlem North-Polo Grounds,2.0
47436,Chinese elm,Central Harlem North-Polo Grounds,2.0
3723,Chinese elm,Clinton,2.0
3754,Chinese elm,Clinton,2.0
29675,Chinese elm,East Harlem North,2.0
56870,Chinese elm,East Harlem South,2.0
45070,Chinese elm,East Village,2.0
53495,Chinese elm,East Village,2.0
48326,Chinese elm,Hamilton Heights,2.0
36449,Chinese elm,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
36450,Chinese elm,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
56220,Chinese elm,Lincoln Square,2.0
58141,Chinese elm,Lower East Side,2.0
58160,Chinese elm,Lower East Side,2.0
37711,Chinese elm,Manhattanville,2.0
37805,Chinese elm,Manhattanville,2.0
52316,Chinese elm,Manhattanville,2.0
53590,Chinese elm,Manhattanville,2.0
40769,Chinese elm,Marble Hill-Inwood,2.0
29753,Chinese elm,Morningside Heights,2.0
55647,Chinese elm,Morningside Heights,2.0
13507,Chinese elm,Murray Hill-Kips Bay,2.0
10451,Chinese elm,SoHo-TriBeCa-Civic Center-Little Italy,2.0
3040,Chinese elm,Upper West Side,2.0
3158,Chinese elm,Upper West Side,2.0
4973,Chinese elm,Upper West Side,2.0
45807,Chinese elm,Upper West Side,2.0
60350,Chinese elm,Upper West Side,2.0
40465,Chinese elm,Washington Heights North,2.0
13424,Chinese elm,Washington Heights South,2.0
13444,Chinese elm,Washington Heights South,2.0
13722,Chinese elm,Washington Heights South,2.0
32269,Chinese elm,Washington Heights South,2.0
32529,Chinese elm,Washington Heights South,2.0
32827,Chinese elm,Washington Heights South,2.0
32850,Chinese elm,Washington Heights South,2.0
36430,Chinese elm,Washington Heights South,2.0
36506,Chinese elm,Washington Heights South,2.0
36555,Chinese elm,Washington Heights South,2.0
36567,Chinese elm,Washington Heights South,2.0
36908,Chinese elm,Washington Heights South,2.0
8830,Chinese elm,West Village,2.0
19937,Chinese elm,West Village,2.0
33828,Chinese elm,West Village,2.0
16552,Chinese elm,Yorkville,2.0
49321,Chinese fringetree,Lenox Hill-Roosevelt Island,2.0
21027,Chinese fringetree,Lower East Side,2.0
40189,Chinese fringetree,SoHo-TriBeCa-Civic Center-Little Italy,2.0
8461,Cornelian cherry,Clinton,2.0
3114,Cornelian cherry,East Village,2.0
19075,Cornelian cherry,Upper West Side,2.0
21595,Cornelian cherry,Upper West Side,2.0
10143,English oak,Central Harlem North-Polo Grounds,2.0
21762,English oak,Clinton,2.0
8671,English oak,East Harlem South,2.0
61917,English oak,Lincoln Square,2.0
49619,English oak,Lower East Side,2.0
17887,English oak,Murray Hill-Kips Bay,2.0
10965,English oak,Upper West Side,2.0
54540,English oak,Upper West Side,2.0
7702,English oak,Washington Heights South,2.0
22368,English oak,Washington Heights South,2.0
7029,European hornbeam,Central Harlem North-Polo Grounds,2.0
54519,European hornbeam,Central Harlem South,2.0
18852,European hornbeam,East Harlem North,2.0
8494,European hornbeam,Gramercy,2.0
31312,European hornbeam,Gramercy,2.0
31366,European hornbeam,Gramercy,2.0
31538,European hornbeam,Gramercy,2.0
31682,European hornbeam,Gramercy,2.0
31706,European hornbeam,Gramercy,2.0
31707,European hornbeam,Gramercy,2.0
31713,European hornbeam,Gramercy,2.0
31763,European hornbeam,Gramercy,2.0
31767,European hornbeam,Hamilton Heights,2.0
31881,European hornbeam,Hamilton Heights,2.0
31348,European hornbeam,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
31690,European hornbeam,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
31710,European hornbeam,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
31764,European hornbeam,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
52304,European hornbeam,Lower East Side,2.0
26321,European hornbeam,Morningside Heights,2.0
26390,European hornbeam,Morningside Heights,2.0
26391,European hornbeam,Morningside Heights,2.0
26392,European hornbeam,Morningside Heights,2.0
11550,European hornbeam,Murray Hill-Kips Bay,2.0
18802,European hornbeam,Murray Hill-Kips Bay,2.0
54475,European hornbeam,Upper East Side-Carnegie Hill,2.0
31321,European hornbeam,Upper West Side,2.0
26334,European hornbeam,Washington Heights North,2.0
26335,European hornbeam,Washington Heights North,2.0
27213,European hornbeam,Washington Heights North,2.0
28587,European hornbeam,Washington Heights South,2.0
50524,European hornbeam,Washington Heights South,2.0
54113,European hornbeam,Washington Heights South,2.0
31330,Himalayan cedar,Hamilton Heights,2.0
31596,Himalayan cedar,Hamilton Heights,2.0
31601,Himalayan cedar,Hamilton Heights,2.0
31602,Himalayan cedar,Hamilton Heights,2.0
31856,Japanese hornbeam,Chinatown,2.0
23754,Japanese hornbeam,East Village,2.0
24814,Japanese hornbeam,Hamilton Heights,2.0
21013,Japanese hornbeam,Turtle Bay-East Midtown,2.0
21037,Japanese hornbeam,Turtle Bay-East Midtown,2.0
31930,Japanese hornbeam,Washington Heights South,2.0
25759,Japanese tree lilac,Battery Park City-Lower Manhattan,2.0
26003,Japanese tree lilac,Battery Park City-Lower Manhattan,2.0
23546,Japanese tree lilac,Central Harlem North-Polo Grounds,2.0
44092,Japanese tree lilac,Central Harlem South,2.0
48548,Japanese tree lilac,Gramercy,2.0
17996,Japanese tree lilac,Marble Hill-Inwood,2.0
61843,Japanese tree lilac,Upper East Side-Carnegie Hill,2.0
3357,Japanese tree lilac,Upper West Side,2.0
3484,Japanese tree lilac,Upper West Side,2.0
24503,Japanese tree lilac,Washington Heights North,2.0
46140,Japanese tree lilac,Washington Heights North,2.0
61908,Japanese tree lilac,Washington Heights North,2.0
59409,Japanese tree lilac,West Village,2.0
20223,Japanese zelkova,Central Harlem North-Polo Grounds,2.0
23078,Japanese zelkova,Central Harlem North-Polo Grounds,2.0
23195,Japanese zelkova,Central Harlem North-Polo Grounds,2.0
31403,Japanese zelkova,Central Harlem North-Polo Grounds,2.0
48470,Japanese zelkova,Central Harlem North-Polo Grounds,2.0
52421,Japanese zelkova,Central Harlem North-Polo Grounds,2.0
15983,Japanese zelkova,Central Harlem South,2.0
32266,Japanese zelkova,Central Harlem South,2.0
46861,Japanese zelkova,Central Harlem South,2.0
58758,Japanese zelkova,Central Harlem South,2.0
219,Japanese zelkova,Chinatown,2.0
39031,Japanese zelkova,Chinatown,2.0
39315,Japanese zelkova,Chinatown,2.0
39755,Japanese zelkova,Chinatown,2.0
40851,Japanese zelkova,Chinatown,2.0
41365,Japanese zelkova,Chinatown,2.0
42197,Japanese zelkova,Chinatown,2.0
42267,Japanese zelkova,Chinatown,2.0
42328,Japanese zelkova,Chinatown,2.0
42345,Japanese zelkova,Chinatown,2.0
42434,Japanese zelkova,Chinatown,2.0
44277,Japanese zelkova,Chinatown,2.0
44599,Japanese zelkova,Chinatown,2.0
45203,Japanese zelkova,Chinatown,2.0
46973,Japanese zelkova,Chinatown,2.0
49386,Japanese zelkova,Chinatown,2.0
51322,Japanese zelkova,Chinatown,2.0
52317,Japanese zelkova,Chinatown,2.0
62129,Japanese zelkova,Chinatown,2.0
62150,Japanese zelkova,Chinatown,2.0
6288,Japanese zelkova,Clinton,2.0
19350,Japanese zelkova,Clinton,2.0
29734,Japanese zelkova,Clinton,2.0
30090,Japanese zelkova,Clinton,2.0
9868,Japanese zelkova,East Harlem North,2.0
29793,Japanese zelkova,East Harlem North,2.0
58228,Japanese zelkova,East Harlem North,2.0
1154,Japanese zelkova,East Harlem South,2.0
3381,Japanese zelkova,East Harlem South,2.0
3889,Japanese zelkova,East Village,2.0
4991,Japanese zelkova,East Village,2.0
8550,Japanese zelkova,East Village,2.0
44252,Japanese zelkova,East Village,2.0
58194,Japanese zelkova,East Village,2.0
58797,Japanese zelkova,East Village,2.0
58832,Japanese zelkova,East Village,2.0
58849,Japanese zelkova,East Village,2.0
14636,Japanese zelkova,Gramercy,2.0
14939,Japanese zelkova,Gramercy,2.0
18388,Japanese zelkova,Gramercy,2.0
7932,Japanese zelkova,Hamilton Heights,2.0
11325,Japanese zelkova,Hamilton Heights,2.0
11501,Japanese zelkova,Hamilton Heights,2.0
12283,Japanese zelkova,Hamilton Heights,2.0
14124,Japanese zelkova,Hamilton Heights,2.0
14403,Japanese zelkova,Hamilton Heights,2.0
15353,Japanese zelkova,Hamilton Heights,2.0
38363,Japanese zelkova,Hamilton Heights,2.0
30244,Japanese zelkova,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
30307,Japanese zelkova,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
30402,Japanese zelkova,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
30403,Japanese zelkova,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
30407,Japanese zelkova,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
30409,Japanese zelkova,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
32557,Japanese zelkova,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
33012,Japanese zelkova,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
33275,Japanese zelkova,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
34743,Japanese zelkova,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
34849,Japanese zelkova,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
